Start Date;End Date;Response Type;IP Address;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Recipient Last Name;Recipient First Name;Recipient Email;External Data Reference;Location Latitude;Location Longitude;Distribution Channel;User Language;Q_RecaptchaScore;If you consent to participate in the study, please enter your Worker ID:;Q11 - How would you rate your current energy level?;Q11 - How would you rate your current mood?;How interested would you be in receiving the text message you just saw? Choose a rating from 1 (not at all interested) to 7 (extremely interested).;Do you have any feedback on this text? What works well, what could be improved?;Gender identity: how do you describe yourself? - Selected Choice;Gender identity: how do you describe yourself? - Prefer to self-describe gender (describe below) - Text;Assigned sex at birth: What sex were you assigned at birth, on your original birth certificate?;What is your race?;What is your age?;Please let us know if you faced any problems while going through this survey.;arm
22/09/21 09:47;22/09/21 09:51;IP Address;73.98.19.110;100;275;True;22/09/21 09:51;R_28C0hx15ZONYVQw;;;;;35.187.103.271.484.300;-10.666.590.118.408.200.000;anonymous;EN;1;A64JDJKE9DYCT;High;High;1;I found it to be rather silly and irrelevant. How does brushing my teeth and hair help me with feeling better? I think the message would annoy me more than anything. I think the messages should be more relevant, in my opinion.;Male;;Male;White;31;;6
22/09/21 09:49;22/09/21 09:52;IP Address;147.124.215.166;100;130;True;22/09/21 09:52;R_1oFNdPQkVPiU9eo;;;;;32.776.702.880.859.300;-9.680.500.030.517.570.000;anonymous;EN;0.699999988079071044921875;A12RN5YW7YBV5Z;High;High;;YES;Male;;Male;African American;35;NO;5
22/09/21 09:45;22/09/21 09:52;IP Address;54.162.247.57;100;426;True;22/09/21 09:52;R_2Xgi0LlwYJ7KLWQ;;;;;38.658.294.677.734.300;-7.724.810.028.076.170.000;anonymous;EN;0.89999997615814208984375;A1HNGSL585NE83;High;High;7;Good Work...;Male;;Male;White;48;Nothing;5
22/09/21 09:45;22/09/21 09:52;IP Address;174.99.73.91;100;433;True;22/09/21 09:52;R_31WOOONYP3mv6ED;;;;;359.806.060.791.015.000;-7.884.259.796.142.570.000;anonymous;EN;0.89999997615814208984375;A2C9X7PFN88GM0;High;High;7;Mind details and health care improve;Male;;Male;African American;41;Nothing;5
22/09/21 09:51;22/09/21 09:53;IP Address;66.30.136.241;100;106;True;22/09/21 09:53;R_3NRobfc4iBmExkp;;;;;42.251.800.537.109.300;-7.108.049.774.169.920.000;anonymous;EN;1;AVMNFVZ19LD6Y;High;High;5;This improves my love towards me.;Female;;Female;White;25;nothing;6
22/09/21 09:46;22/09/21 09:53;IP Address;45.42.190.19;100;445;True;22/09/21 09:53;R_2dQ0UqJJrcCK3Ix;;;;;38.886.505.126.953.100;-7.709.110.260.009.760.000;anonymous;EN;0.4000000059604644775390625;A37CK6OESFC4KX;High;High;7;nice;Male;;Male;White;55;;6
22/09/21 09:51;22/09/21 09:53;IP Address;154.22.58.110;100;124;True;22/09/21 09:53;R_3lVr8SIkJiDnSg1;;;;;37.751.007.080.078.100;-9.782.199.859.619.140.000;anonymous;EN;0.4000000059604644775390625;A56J5OHML6XX5;High;High;6;GOOD;Female;;Female;White;48;GOOD;6
22/09/21 09:47;22/09/21 09:54;IP Address;72.203.142.94;100;419;True;22/09/21 09:54;R_1CfMTCan3sGghvO;;;;;303.607.940.673.828.000;-9.109.169.769.287.100.000;anonymous;EN;1;AHVUXEE5HERIR;High;High;4;Read on to learn strategies you can start implementing today to improve your job performance. ... For creative projects, Friday afternoons can work well.;Male;;Male;African American;32;AHVUXEE5HERIR;5
22/09/21 09:53;22/09/21 09:54;IP Address;72.241.62.50;100;44;True;22/09/21 09:54;R_3j8Vds0zCnpmMP0;;;;;41.600.494.384.765.600;-8.362.509.918.212.890.000;anonymous;EN;1;A1PR74OHURJNTO;High;High;4; ;Male;;Male;White;30;A1PR74OHURJNTO;5
22/09/21 09:46;22/09/21 09:54;IP Address;207.228.60.140;100;486;True;22/09/21 09:54;R_prUbrmxJ4ViTF05;;;;;298.477.935.791.015.000;-956.598.968.505.859.000;anonymous;EN;1;A36BETX5G9BSZ2;High;High;6;Read on to learn strategies you can start implementing today to improve your job performance.;Male;;Male;White;32;nothing;6
22/09/21 09:52;22/09/21 09:54;IP Address;68.11.179.32;100;133;True;22/09/21 09:54;R_20M3CFwLMFqKBie;;;;;301.011.962.890.625;-92.011.199.951.171.800;anonymous;EN;1;AW0MG225VXWCN;High;High;1;it shouldn't sound like a parent lecturing you as a child;Male;;Male;White;34;;6
22/09/21 09:53;22/09/21 09:55;IP Address;98.25.6.35;100;79;True;22/09/21 09:55;R_DIG4lzpuVq3prDH;;;;;341.416.015.625;-8.088.860.321.044.920.000;anonymous;EN;0.89999997615814208984375;AN0EDTRGBIQ7Z;High;High;6;already it is best;Female;;Female;White;25;none;6
22/09/21 09:49;22/09/21 09:55;IP Address;108.167.124.113;100;363;True;22/09/21 09:55;R_78HRhHxZ5TZWyt3;;;;;3.134.320.068.359.370;-8.584.400.177.001.950.000;anonymous;EN;1;A2CD144G9F1UJY;High;High;5;The survey is very good;Male;;Male;African American;39;A2CD144G9F1UJY;6
22/09/21 09:45;22/09/21 09:56;IP Address;73.186.65.43;100;622;True;22/09/21 09:56;R_3J7Ws6ulQWyiEZu;;;;;42.982.696.533.203.100;-7.094.719.696.044.920.000;anonymous;EN;1;A2N1OLOMSG235U;High;High;7;very interesting.;Female;;Female;White;35;No;5
22/09/21 09:53;22/09/21 09:56;IP Address;147.124.215.166;100;138;True;22/09/21 09:56;R_pEo5SQudhLifua5;;;;;32.776.702.880.859.300;-9.680.500.030.517.570.000;anonymous;EN;0.699999988079071044921875;A12RN5YW7YBV5Z;High;High;7;YES;Male;;Male;African American;35;NO;5
22/09/21 09:51;22/09/21 09:56;IP Address;66.187.8.62;100;267;True;22/09/21 09:56;R_29vwXGbH79h6OsU;;;;;36.837.493.896.484.300;-7.609.760.284.423.820.000;anonymous;EN;0.89999997615814208984375;A37RDN0YPMS5MN;High;High;6;The debate about feedback at work isn’t new. Since at least the middle of the last century, the question of how to get employees to improve has generated a good deal of opinion and research. But recently the discussion has taken on new intensity. The ongoing experiment in “radical transparency” at Bridgewater Associates and the culture at Netflix, which the Wall Street Journal recently described as “encouraging harsh feedback” and subjecting workers to “intense and awkward” real-time 360s, are but two examples of the overriding belief that the way to increase performance in companies is through rigorous, frequent, candid, pervasive, and often critical feedback.;Female;;Female;Asian;30;;5
22/09/21 09:54;22/09/21 09:56;IP Address;208.195.16.157;100;121;True;22/09/21 09:56;R_1ruDFAxmAKAcWDk;;;;;37.751.007.080.078.100;-9.782.199.859.619.140.000;anonymous;EN;0.4000000059604644775390625;A20I5CUNS0RQ1M;High;High;5;Good survey;Male;;Male;White;65;No;6
22/09/21 09:53;22/09/21 09:56;IP Address;47.221.103.148;100;212;True;22/09/21 09:56;R_3wvsaPEd8R0eVxv;;;;;301.212.005.615.234.000;-9.526.779.937.744.140.000;anonymous;EN;1;A3N7Y96326HYS8;High;High;5;good;Male;;Male;White;45;good;6
22/09/21 09:54;22/09/21 09:57;IP Address;45.42.190.19;100;204;True;22/09/21 09:57;R_3z2RxauGlzXccJH;;;;;38.886.505.126.953.100;-7.709.110.260.009.760.000;anonymous;EN;0.4000000059604644775390625;A37CK6OESFC4KX;High;High;7;very nice;Male;;Male;White;55;no;6
22/09/21 09:57;22/09/21 09:58;IP Address;185.199.226.37;100;43;True;22/09/21 09:58;R_cIQh6hLB7XjknUl;;;;;418.777.008.056.640.000;-87.637.603.759.765.600;anonymous;EN;0.89999997615814208984375;A3I8W5848LIHPC;High;High;7;Yes also improved;Male;;Male;White;25;None;6
22/09/21 09:57;22/09/21 09:58;IP Address;154.22.58.10;100;90;True;22/09/21 09:58;R_2zbUncaBfDCmupO;;;;;37.751.007.080.078.100;-9.782.199.859.619.140.000;anonymous;EN;0.89999997615814208984375;A2O1AJ1PIN9V0;High;High;6;good;Female;;Female;White;48;good;6
22/09/21 09:46;22/09/21 09:58;IP Address;38.111.180.18;100;763;True;22/09/21 09:58;R_1FLpwPt322ZrMmB;;;;;399.452.056.884.765.000;-829.738.006.591.796.000;anonymous;EN;0.89999997615814208984375;A7P3R1AIA4TVV;High;High;1;"I feel like this message is nagging me more than I would interpret it as helping me. I can picture myself reading it and thinking ""Great, one more thing to do"" and ignoring it.";Male;;Male;White;37;You have posted similar surveys in the past to this one, although the content is different. Since they are on different days, different pay rates, and different survey URLs, I can only assume they are meant to be different surveys. You threaten the people completing this research for you with rejections despite the vague and inconsistent way you've posted these. If you want to exclude people who've participated for you in the past, I suggest you enable that option available to you in both Mechanical Turk and Qualtrics. I trust I will be paid for my participation in your research and will not need to involve the Research Ethics Board at your university of the matter.;6
22/09/21 09:58;22/09/21 09:59;IP Address;45.23.53.204;100;35;True;22/09/21 09:59;R_rp6A10oPUMuEhFv;;;;;38.697.601.318.359.300;-903.603.973.388.671.000;anonymous;EN;1;A37KREDYGDTP4U;High;High;7;I don't have much;Male;;Male;White;29;;5
22/09/21 09:54;22/09/21 09:59;IP Address;104.37.175.112;100;328;True;22/09/21 09:59;R_22JlLTKoIALiRxm;;;;;32.776.702.880.859.300;-9.680.500.030.517.570.000;anonymous;EN;0.89999997615814208984375;A24OVFX1UXADT;High;High;7;improving;Male;;Male;African American;56;no;6
22/09/21 09:45;22/09/21 10:00;IP Address;66.187.8.37;100;886;True;22/09/21 10:00;R_21tyylXnejswGk9;;;;;36.837.493.896.484.300;-7.609.760.284.423.820.000;anonymous;EN;1;AWXFXIPE3CX4Z;High;High;6;Feedback is about telling people what we think of their performance and how they should do it better—whether they're giving an effective presentation, ...;Male;;Male;White;28;The answers you get by asking this question will help you understand the greatest problem your customers need help with. Sometimes, you may receive diverse ;5
22/09/21 09:59;22/09/21 10:00;IP Address;104.224.28.123;100;94;True;22/09/21 10:00;R_2pLV2FwTx8iLweV;;;;;4.078.759.765.625;-7.405.999.755.859.370;anonymous;EN;1;A20LKUNLGTTANZ;High;High;6;None;Male;;Male;White;25;None;6
22/09/21 09:59;22/09/21 10:01;IP Address;196.17.67.48;100;173;True;22/09/21 10:01;R_2wS4WwkDv5rKdV7;;;;;340.543.975.830.078.000;-1.182.440.948.486.320.000;anonymous;EN;0.800000011920928955078125;A2RC723C5UMX3Y;High;High;6;very well;Male;;Male;White;31;none;5
22/09/21 09:58;22/09/21 10:02;IP Address;63.161.76.154;100;235;True;22/09/21 10:02;R_3qyRdmrIw0FTNkX;;;;;390.019.073.486.328.000;-77.455.596.923.828.100;anonymous;EN;0.699999988079071044921875;A1H7NYNZ70KLKA;High;High;5;Well;Male;;Male;Asian;51;no;5
22/09/21 09:58;22/09/21 10:02;IP Address;54.245.6.243;100;265;True;22/09/21 10:02;R_1IxSVCexu4cM66x;;;;;458.271.942.138.671.000;-1.197.205.963.134.760.000;anonymous;EN;0.89999997615814208984375;A5DSDJLK8NZ4U;High;High;6;Well;Female;;Female;African American;32;A5DSDJLK8NZ4U;6
22/09/21 09:45;22/09/21 09:48;IP Address;177.138.204.56;100;153;True;22/09/21 10:03;R_2DU0A9RUzqGLSAI;;;;;-2.310.650.634.765.620;-47.177.093.505.859.300;anonymous;EN;0.89999997615814208984375;A9AP3ED0K8LS8;High;High;6;The text seems to have good intentions. It's straightforward, simple and effective. I believe that receiving such a notification would make my day at least 0.1% better.;Male;;Male;White;23;I didn't find any difficulties.;5
22/09/21 10:00;22/09/21 10:03;IP Address;3.133.97.38;100;162;True;22/09/21 10:03;R_23TuKa5e5d8znNa;;;;;39.962.493.896.484.300;-83.006.103.515.625;anonymous;EN;0.4000000059604644775390625;A3BOKBPGFIJ16O;High;High;5;;Male;;Male;White;36;No;5
22/09/21 09:55;22/09/21 10:04;IP Address;108.167.124.113;100;500;True;22/09/21 10:04;R_3Dpv9AKz2Pvwmb4;;;;;3.134.320.068.359.370;-8.584.400.177.001.950.000;anonymous;EN;0.89999997615814208984375;A2CD144G9F1UJY;High;High;5;The survey is very good;Male;;Male;African American;39;Nothing, The survey is very good.;5
22/09/21 09:47;22/09/21 10:04;IP Address;220.158.140.61;100;1002;True;22/09/21 10:04;R_20O3L2Fhi0fHsqx;;;;;1.114.239.501.953.120;77.342.193.603.515.600;anonymous;EN;0.89999997615814208984375;A382SL9ROIY1P6;High;High;6;;Male;;Male;Asian;25;;5
22/09/21 10:04;22/09/21 10:04;IP Address;136.175.192.13;100;43;True;22/09/21 10:04;R_1jlJQtcCdyTWgKT;;;;;36.837.493.896.484.300;-7.609.760.284.423.820.000;anonymous;EN;0.89999997615814208984375;ACTBTMLDKO7EB;High;High;6;good;Male;;Male;White;48;good;5
22/09/21 09:58;22/09/21 10:05;IP Address;100.18.31.90;100;414;True;22/09/21 10:05;R_3PtrrZd63bFYiWh;;;;;3.925.140.380.859.370;-767.978.973.388.671.000;anonymous;EN;0.89999997615814208984375;A281QLSASN8C5Q;High;High;7;"""Brush your teeth and hair and you might feel better about yourself.""";Female;;Female;White;25;Nice survey;5
22/09/21 09:55;22/09/21 10:05;IP Address;72.203.142.94;100;583;True;22/09/21 10:05;R_22LBdltYHII1XOy;;;;;303.607.940.673.828.000;-9.109.169.769.287.100.000;anonymous;EN;0.89999997615814208984375;AHVUXEE5HERIR;High;High;6;The survey is very good;Male;;Male;African American;32;Nothing, The survey is very good;5
22/09/21 09:45;22/09/21 10:05;IP Address;208.203.212.192;100;1204;True;22/09/21 10:05;R_2uDuzFJXKtD8Mfw;;;;;3.917.529.296.875;-7.719.460.296.630.850.000;anonymous;EN;0.89999997615814208984375;A29MZUGHESCS1F;High;High;6;;Female;;Female;White;52;N/A;5
22/09/21 10:06;22/09/21 10:07;IP Address;185.191.228.179;100;59;True;22/09/21 10:07;R_3HBM5aHwrZzT5dL;;;;;418.777.008.056.640.000;-87.637.603.759.765.600;anonymous;EN;1;A1RFECS63DTC3U;High;High;6;None;Male;;Male;White;25;None;6
22/09/21 09:50;22/09/21 10:07;IP Address;110.235.239.110;100;1014;True;22/09/21 10:07;R_1MQmxXt2BZbK0r3;;;;;28.654.205.322.265.600;772.373.046.875;anonymous;EN;1;A1KEA2Z47S3UPI;High;High;2;It felt a bit too light or cheap;Male;;Male;Asian;28;;6
22/09/21 10:05;22/09/21 10:09;IP Address;99.2.65.40;100;259;True;22/09/21 10:09;R_0JpoPZbYY1ZV5Hb;;;;;302.754.974.365.234.000;-815.814.971.923.828.000;anonymous;EN;1;A5WWHKD82I8UE;High;High;4;Maybe add something a little more cheerful.;Male;;Male;White;38;No issues. I am surprised at how short this survey was. Only one question. Even after pondering the question for a short while (15 to 30 seconds), I feel like there should have been more.;6
